顧客名,顧客名カナ,業種,企業規模,電話番号,FAX,郵便番号,住所,Webサイト,ステータス,獲得経路,年間売上,メモ
株式会社テクノソリューションズ,カブシキガイシャテクノソリューションズ,IT,大企業,03-1234-5678,03-1234-5679,100-0001,東京都千代田区丸の内1-1-1,https://techsol.co.jp,取引中,web,1500000000,基幹システム刷新プロジェクト進行中
富士山製作所,フジサンセイサクショ,製造,中規模,055-221-3456,055-221-3457,418-0011,静岡県富士宮市三条1-2-3,,取引中,referral,480000000,自動車部品メーカー。品質管理システムに関心
大阪メディカル株式会社,オオサカメディカルカブシキガイシャ,医療,大企業,06-3456-7890,06-3456-7891,530-0001,大阪府大阪市北区梅田2-3-4,https://osaka-medical.co.jp,取引中,exhibition,2300000000,電子カルテシステムの更新検討中
北海道フーズ株式会社,ホッカイドウフーズカブシキガイシャ,飲食,中小企業,011-456-7890,,060-0001,北海道札幌市中央区北1条西1-1,,見込み,web,180000000,受発注管理システムの導入を検討
株式会社アーバンリアルティ,カブシキガイシャアーバンリアルティ,不動産,中規模,03-2345-6789,03-2345-6790,150-0001,東京都渋谷区神宮前1-1-1,https://urban-realty.co.jp,見込み,web,650000000,物件管理システムの刷新を検討
九州建設株式会社,キュウシュウケンセツカブシキガイシャ,建設,大企業,092-567-8901,092-567-8902,810-0001,福岡県福岡市中央区天神1-1-1,,取引中,referral,3200000000,工事管理システムを導入済み。追加モジュール検討
株式会社スマートエデュケーション,カブシキガイシャスマートエデュケーション,教育,スタートアップ,03-3456-7890,,141-0001,東京都品川区大崎1-1-1,https://smart-edu.jp,見込み,web,45000000,EdTechスタートアップ。LMS導入に関心
三河ロジスティクス株式会社,ミカワロジスティクスカブシキガイシャ,物流,中規模,0566-23-4567,0566-23-4568,448-0001,愛知県刈谷市東刈谷町1-1,,取引中,exhibition,720000000,倉庫管理システムを導入。拡張を検討
株式会社グリーンエネルギー,カブシキガイシャグリーンエネルギー,エネルギー,中規模,03-4567-8901,,105-0001,東京都港区虎ノ門1-1-1,https://green-energy.co.jp,見込み,web,890000000,再生可能エネルギー事業者。設備管理に関心
横浜ファッション株式会社,ヨコハマファッションカブシキガイシャ,小売,中小企業,045-678-9012,,220-0001,神奈川県横浜市西区北幸1-1,,休眠,web,220000000,昨年末から連絡が途絶えている
株式会社デジタルトランスフォーム,カブシキガイシャデジタルトランスフォーム,IT,スタートアップ,03-5678-9012,,107-0001,東京都港区赤坂1-1-1,https://digital-transform.jp,見込み,web,60000000,DXコンサルティング会社。自社ツール導入検討
関西化学工業株式会社,カンサイカガクコウギョウカブシキガイシャ,製造,大企業,06-4567-8901,06-4567-8902,541-0001,大阪府大阪市中央区本町1-1,https://kansai-chem.co.jp,取引中,referral,4500000000,化学品製造。生産管理システム稼働中
株式会社東北ソフトウェア,カブシキガイシャトウホクソフトウェア,IT,中小企業,022-345-6789,,980-0001,宮城県仙台市青葉区一番町1-1,,見込み,web,150000000,業務システム受託開発。自社管理ツール検討
名古屋金融サービス株式会社,ナゴヤキンユウサービスカブシキガイシャ,金融,大企業,052-678-9012,052-678-9013,460-0001,愛知県名古屋市中区栄1-1,https://nagoya-financial.co.jp,取引中,exhibition,8900000000,証券会社。コンプライアンス管理強化中
株式会社ヘルスケアイノベーション,カブシキガイシャヘルスケアイノベーション,医療,スタートアップ,03-6789-0123,,103-0001,東京都中央区日本橋1-1-1,https://healthcare-innovation.jp,見込み,web,35000000,医療AIスタートアップ
沖縄観光開発株式会社,オキナワカンコウカイハツカブシキガイシャ,観光,中小企業,098-789-0123,,900-0001,沖縄県那覇市久茂地1-1,,休眠,web,120000000,観光業。コロナ後の回復途上
株式会社セキュアネット,カブシキガイシャセキュアネット,IT,中規模,03-7890-1234,,102-0001,東京都千代田区九段北1-1,https://securenet.co.jp,取引中,referral,380000000,サイバーセキュリティ専門会社
京都陶器株式会社,キョウトトウキカブシキガイシャ,製造,中小企業,075-890-1234,,604-0001,京都府京都市中京区三条通1-1,,見込み,exhibition,95000000,伝統工芸品製造。EC展開を検討
株式会社クラウドワーク,カブシキガイシャクラウドワーク,IT,スタートアップ,03-8901-2345,,150-0001,東京都渋谷区恵比寿1-1-1,https://cloudwork.jp,見込み,web,25000000,クラウドサービス新興企業
東海電機株式会社,トウカイデンキカブシキガイシャ,製造,大企業,052-789-0123,052-789-0124,453-0001,愛知県名古屋市中村区名駅1-1,https://tokai-electric.co.jp,取引中,referral,6700000000,電機メーカー。IoT活用推進中
株式会社フードデリバリープラス,カブシキガイシャフードデリバリープラス,飲食,スタートアップ,03-9012-3456,,151-0001,東京都渋谷区代々木1-1-1,https://food-delivery-plus.jp,見込み,web,18000000,フードデリバリー新興企業
長野農業協同組合,ナガノノウギョウキョウドウクミアイ,農業,中小企業,026-901-2345,,380-0001,長野県長野市大字長野1-1,,休眠,web,230000000,農産物流通管理に関心あり
株式会社マリンテック,カブシキガイシャマリンテック,製造,中規模,045-012-3456,045-012-3457,231-0001,神奈川県横浜市中区山下町1-1,https://marintech.co.jp,取引中,exhibition,520000000,船舶機器メーカー
北陸薬品株式会社,ホクリクヤクヒンカブシキガイシャ,医療,中規模,076-123-4567,076-123-4568,920-0001,石川県金沢市武蔵町1-1,,見込み,referral,410000000,調剤薬局チェーン。調剤管理システム検討中
